,precision,recall,f1-score,support
Bored,0.48381294964028776,0.4345718901453958,0.45787234042553193,2476.0
Confident,0.7463890452072782,0.7888580491673275,0.7670361445783133,5044.0
Confused,0.7800963081861958,0.5988909426987061,0.6775880097594981,1623.0
Curious,0.679,0.5803418803418804,0.6258064516129033,1170.0
Frustrated,0.6862786745964317,0.7700190657769304,0.7257412398921833,4196.0
accuracy,0.6848852436418774,0.6848852436418774,0.6848852436418774,0.6848852436418774
macro avg,0.6751153955260387,0.634536365626048,0.650808837253686,14509.0
weighted avg,0.6825321410247216,0.6848852436418774,0.6809395105769517,14509.0
